foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,,Q28231972,2017 Assembly election,1
,Q5107294,Chris Lyttle,Q244927,Alliance Party of Northern Ireland,,Q28231972,2017 Assembly election,2
,Q20979148,Andy Allen,Q841045,Ulster Unionist Party,,Q28231972,2017 Assembly election,3
,Q24052786,Joanne Bunting,Q215519,Democratic Unionist Party,,Q28231972,2017 Assembly election,4
,Q7352684,Robin Newton,Q215519,Democratic Unionist Party,,Q28231972,2017 Assembly election,5
,,David Douglas,Q215519,Democratic Unionist Party,,Q28231972,2017 Assembly election,6
,Q6243511,John Kyle,Q1817613,Progressive Unionist Party,,Q28231972,2017 Assembly election,7
Q98247332,,Georgina Milne,Q1096979,Green Party in Northern Ireland,,Q28231972,2017 Assembly election,8
Q98247428,,Mairéad O'Donnell,Q76382,Sinn Féin,,Q28231972,2017 Assembly election,9
,,Andrew Girvin,Q985076,Traditional Unionist Voice,,Q28231972,2017 Assembly election,10
,,Courtney Robinson,Q24083594,Cross-Community Labour Alternative,,Q28231972,2017 Assembly election,11
Q98247809,,Sheila Bodel,Q7058484,Northern Ireland Conservatives,,Q28231972,2017 Assembly election,12
Q98247926,,Séamas de Faoite,Q175443,Social Democratic and Labour Party,,Q28231972,2017 Assembly election,13
,,Jordy McKeag,Q327591,Independent (politician),,Q28231972,2017 Assembly election,14
,Q24052786,Joanne Bunting,Q215519,Democratic Unionist Party,,Q16973450,2016 Assembly election,1
,Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,,Q16973450,2016 Assembly election,2
,Q7409740,Sammy Douglas,Q215519,Democratic Unionist Party,,Q16973450,2016 Assembly election,3
,Q20979148,Andy Allen,Q841045,Ulster Unionist Party,,Q16973450,2016 Assembly election,4
,Q5107294,Chris Lyttle,Q244927,Alliance Party of Northern Ireland,,Q16973450,2016 Assembly election,5
,Q7352684,Robin Newton,Q215519,Democratic Unionist Party,,Q16973450,2016 Assembly election,6
,Q16979852,Ross Brown,Q1096979,Green Party in Northern Ireland,,Q16973450,2016 Assembly election,7
,,Tim Morrow,Q244927,Alliance Party of Northern Ireland,,Q16973450,2016 Assembly election,8
,Q6243511,John Kyle,Q1817613,Progressive Unionist Party,,Q16973450,2016 Assembly election,9
Q98270806,,Chris McGimpsey,Q841045,Ulster Unionist Party,,Q16973450,2016 Assembly election,10
,,Maggie Hutton,Q327591,Independent (politician),,Q16973450,2016 Assembly election,11
,,Andrew Girvin,Q985076,Traditional Unionist Voice,,Q16973450,2016 Assembly election,12
,Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,,Q16973450,2016 Assembly election,13
Q98274632,,Jonny Lavery,Q10647,UK Independence Party,,Q16973450,2016 Assembly election,14
,,Courtney Robinson,Q24083594,Cross-Community Labour Alternative,,Q16973450,2016 Assembly election,15
,,Neil Wilson,Q7058484,Northern Ireland Conservatives,,Q16973450,2016 Assembly election,16
,,Amy Doherty,Q175443,Social Democratic and Labour Party,,Q16973450,2016 Assembly election,17
,Q24055730,Erskine Holmes,Q20642359,Northern Ireland Labour Representation Committee,,Q16973450,2016 Assembly election,18
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q7058474,2011 Assembly election,1
,Q7352684,Robin Newton,Q215519,Democratic Unionist Party,,Q7058474,2011 Assembly election,2
,Q6303346,Judith Cochrane,Q244927,Alliance Party of Northern Ireland,,Q7058474,2011 Assembly election,3
,Q5107294,Chris Lyttle,Q244927,Alliance Party of Northern Ireland,,Q7058474,2011 Assembly election,4
,Q7409740,Sammy Douglas,Q215519,Democratic Unionist Party,,Q7058474,2011 Assembly election,5
,Q6829452,Michael Copeland,Q841045,Ulster Unionist Party,,Q7058474,2011 Assembly election,6
,Q5242494,Dawn Purvis,Q327591,Independent (politician),,Q7058474,2011 Assembly election,7
,Q4963683,Brian Ervine,Q1817613,Progressive Unionist Party,,Q7058474,2011 Assembly election,8
,,Philip Robinson,Q841045,Ulster Unionist Party,,Q7058474,2011 Assembly election,9
,Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,,Q7058474,2011 Assembly election,10
,,Harry Toan,Q985076,Traditional Unionist Voice,,Q7058474,2011 Assembly election,11
,,Martin Gregg,Q1096979,Green Party in Northern Ireland,,Q7058474,2011 Assembly election,12
,,Ann Cooper,Q161269,British National Party,,Q7058474,2011 Assembly election,13
,,Magdalena Wolska,Q175443,Social Democratic and Labour Party,,Q7058474,2011 Assembly election,14
,,Thomas Black,Q1549074,Socialist Party (Ireland),,Q7058474,2011 Assembly election,15
,,Kevin McNally,Q1860218,Workers' Party of Ireland,,Q7058474,2011 Assembly election,16
,,Stephen Stewart,Q327591,Independent (politician),,Q7058474,2011 Assembly election,17
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q2562399,2007 Assembly election,1
,Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,,Q2562399,2007 Assembly election,2
,Q336064,Reg Empey,Q841045,Ulster Unionist Party,,Q2562399,2007 Assembly election,3
,Q5242494,Dawn Purvis,Q1817613,Progressive Unionist Party,,Q2562399,2007 Assembly election,4
,Q2542530,Wallace Browne,Q215519,Democratic Unionist Party,,Q2562399,2007 Assembly election,5
,Q7352684,Robin Newton,Q215519,Democratic Unionist Party,,Q2562399,2007 Assembly election,6
,Q6829452,Michael Copeland,Q841045,Ulster Unionist Party,,Q2562399,2007 Assembly election,7
Q98247430,,Mary Muldoon,Q175443,Social Democratic and Labour Party,,Q2562399,2007 Assembly election,8
,,Jim Rodgers,Q841045,Ulster Unionist Party,,Q2562399,2007 Assembly election,9
,Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,,Q2562399,2007 Assembly election,10
,Q7614439,Steven Agnew,Q1096979,Green Party of Northern Ireland,,Q2562399,2007 Assembly election,11
,,Glyn Chambers,Q7058484,Northern Ireland Conservatives,,Q2562399,2007 Assembly election,12
,,Thomas Black,Q1549074,Socialist Party (Ireland),,Q2562399,2007 Assembly election,13
,,Joseph Bell,Q1860218,Workers' Party of Ireland,,Q2562399,2007 Assembly election,14
,Q7284637,Rainbow George,Q6739060,Make Politicians History,,Q2562399,2007 Assembly election,15
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q2076187,2003 Assembly election,1
,Q336064,Reg Empey,Q841045,Ulster Unionist Party,,Q2076187,2003 Assembly election,2
,Q7352684,Robin Newton,Q215519,Democratic Unionist Party,,Q2076187,2003 Assembly election,3
,Q241830,David Ervine,Q1817613,Progressive Unionist Party,,Q2076187,2003 Assembly election,4
,Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,,Q2076187,2003 Assembly election,5
,Q6829452,Michael Copeland,Q841045,Ulster Unionist Party,,Q2076187,2003 Assembly election,6
,,Jim Rodgers,Q841045,Ulster Unionist Party,,Q2076187,2003 Assembly election,7
,,Harry Toan,Q215519,Democratic Unionist Party,,Q2076187,2003 Assembly election,8
,,Joseph O'Donnell,Q76382,Sinn Féin,,Q2076187,2003 Assembly election,9
,,Leo Van Es,Q175443,Social Democratic and Labour Party,,Q2076187,2003 Assembly election,10
Q98264607,,Terence Dick,Q7058484,Northern Ireland Conservatives,,Q2076187,2003 Assembly election,11
,,Thomas Black,Q1182201,Socialist Party,,Q2076187,2003 Assembly election,12
,,Joseph Bell,Q1860218,Workers' Party of Ireland,,Q2076187,2003 Assembly election,13
,,John McBlain,Q327591,Independent (politician),,Q2076187,2003 Assembly election,14
,,Rainbow George Weiss,Q6739060,Vote For Yourself Rainbow Dream Ticket,,Q2076187,2003 Assembly election,15
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q2076208,1998 Assembly election,1
,Q336390,John Alderdice,Q244927,Alliance Party of Northern Ireland,,Q2076208,1998 Assembly election,2
,Q241830,David Ervine,Q1817613,Progressive Unionist Party,,Q2076208,1998 Assembly election,3
,Q336064,Reg Empey,Q841045,Ulster Unionist Party,,Q2076208,1998 Assembly election,4
,Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,,Q2076208,1998 Assembly election,5
,Q5980734,Ian Adamson,Q841045,Ulster Unionist Party,,Q2076208,1998 Assembly election,6
,,Richard Good,Q244927,Alliance Party of Northern Ireland,,Q2076208,1998 Assembly election,7
,Q5259244,Denny Vitty,Q985706,UK Unionist Party,,Q2076208,1998 Assembly election,8
,,Peter Jones,Q175443,Social Democratic and Labour Party,,Q2076208,1998 Assembly election,9
,Q9011758,Jim Rodgers,Q841045,Ulster Unionist Party,,Q2076208,1998 Assembly election,10
,,John Norris,Q215519,Democratic Unionist Party,,Q2076208,1998 Assembly election,11
,,Joseph O'Donnell,Q76382,Sinn Féin,,Q2076208,1998 Assembly election,12
,Q7158164,Pearl Sagar,Q7058538,Northern Ireland Women's Coalition,,Q2076208,1998 Assembly election,13
,,Robert Girvan,Q1781051,Ulster Democratic Party,,Q2076208,1998 Assembly election,14
,Q5231474,David Bleakley,Q6467508,Labour Party of Northern Ireland,,Q2076208,1998 Assembly election,15
,Q5242494,Dawn Purvis,Q1817613,Progressive Unionist Party,,Q2076208,1998 Assembly election,16
,,Lesley Donaldson,Q7058484,Northern Ireland Conservatives,,Q2076208,1998 Assembly election,17
,,Joseph Bell,Q1860218,Workers' Party of Ireland,,Q2076208,1998 Assembly election,18
Q98247243,,David Collins,Q491782,Natural Law Party,,Q2076208,1998 Assembly election,19
,,John Lawrence,Q327591,Independent (politician),,Q2076208,1998 Assembly election,20
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q11918778,1982 Assembly election,1
,Q6181178,Jeremy Burchill,Q841045,Ulster Unionist Party,,Q11918778,1982 Assembly election,2
,Q529315,Oliver Napier,Q244927,Alliance Party of Northern Ireland,,Q11918778,1982 Assembly election,3
,Q5259244,Denny Vitty,Q215519,Democratic Unionist Party,,Q11918778,1982 Assembly election,4
,Q5298393,Dorothy Dunlop,Q841045,Ulster Unionist Party,,Q11918778,1982 Assembly election,5
,Q4681140,Addie Morrow,Q244927,Alliance Party of Northern Ireland,,Q11918778,1982 Assembly election,6
,Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,,Q11918778,1982 Assembly election,7
,Q8007229,William Craig,Q3896802,Vanguard Progressive Unionist Party,,Q11918778,1982 Assembly election,8
,,William Johnstone,Q841045,Ulster Unionist Party,,Q11918778,1982 Assembly election,9
Q98247590,,Peter Prendiville,Q175443,Social Democratic and Labour Party,,Q11918778,1982 Assembly election,10
,Q336064,Reg Empey,Q7893627,United Ulster Unionist Party,,Q11918778,1982 Assembly election,11
,,Francis Cullen,Q1860218,Workers' Party of Ireland,,Q11918778,1982 Assembly election,12
,,Ben Horan,Q7893627,United Ulster Unionist Party,,Q11918778,1982 Assembly election,13
,Q8007229,William Craig,Q3896802,Vanguard Progressive Unionist Party,,Q7058486,1975 Constitutional Convention,1
,Q529315,Oliver Napier,Q244927,Alliance Party of Northern Ireland,,Q7058486,1975 Constitutional Convention,2
,Q336064,Reg Empey,Q3896802,Vanguard Progressive Unionist Party,,Q7058486,1975 Constitutional Convention,3
,Q6289711,Joshua Cardwell,Q7886826,Unionist Party of Northern Ireland,,Q7058486,1975 Constitutional Convention,4
,Q1303976,Eileen Paisley,Q215519,Democratic Unionist Party,,Q7058486,1975 Constitutional Convention,5
,Q5231474,David Bleakley,Q7058511,Northern Ireland Labour Party,,Q7058486,1975 Constitutional Convention,6
,Q333036,Peter Robinson,Q215519,Democratic Unionist Party,,Q7058486,1975 Constitutional Convention,7
,Q7372592,Roy Bradford,Q841045,Ulster Unionist Party,,Q7058486,1975 Constitutional Convention,8
,Q7051900,Norman Agnew,Q7886826,Unionist Party of Northern Ireland,,Q7058486,1975 Constitutional Convention,9
,Q5237446,David McNarry,Q841045,Ulster Unionist Party,,Q7058486,1975 Constitutional Convention,10
,,Kate Condy,Q244927,Alliance Party of Northern Ireland,,Q7058486,1975 Constitutional Convention,11
,Q4709010,Alban Maginness,Q175443,Social Democratic and Labour Party,,Q7058486,1975 Constitutional Convention,12
,,Walter McFarland,Q6017344,Independent Unionist,,Q7058486,1975 Constitutional Convention,13
,,William Elliot,Q6017344,Independent Unionist,,Q7058486,1975 Constitutional Convention,14
Q98270696,,Sandy Scott,Q6467508,Labour Party of Northern Ireland,,Q7058486,1975 Constitutional Convention,15
,Q7372592,Roy Bradford,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,1
,Q6289711,Joshua Cardwell,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,2
,Q1303976,Eileen Paisley,Q215519,Democratic Unionist Party,,Q7058471,1973 Assembly election,3
,Q7051900,Norman Agnew,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,4
,Q529315,Oliver Napier,Q244927,Alliance Party of Northern Ireland,,Q7058471,1973 Assembly election,5
,Q5231474,David Bleakley,Q7058511,Northern Ireland Labour Party,,Q7058471,1973 Assembly election,6
,,Walter McFarland,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,7
,Q9011758,Jim Rodgers,Q3896802,Vanguard Progressive Unionist Party,,Q7058471,1973 Assembly election,8
,Q5237446,David McNarry,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,9
,Q7819522,Tommy Herron,Q3896802,Vanguard Progressive Unionist Party,,Q7058471,1973 Assembly election,10
,Q7966094,Walter Scott,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,11
,Q21603986,William Annon,Q6017344,Independent Unionist,,Q7058471,1973 Assembly election,12
,,Owen Adams,Q175443,Social Democratic and Labour Party,,Q7058471,1973 Assembly election,13
,,Thomas Smith,Q3896802,Vanguard Progressive Unionist Party,,Q7058471,1973 Assembly election,14
,,Kate Condy,Q244927,Alliance Party of Northern Ireland,,Q7058471,1973 Assembly election,15
,,Michael Brooks,Q6017344,Independent Unionist,,Q7058471,1973 Assembly election,16
,,John McKeown,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,17
,,Elsie Logan,Q841045,Ulster Unionist Party,,Q7058471,1973 Assembly election,18
,Q16997413,Lindsay Mason,Q7879944,Ulster Constitution Party,,Q7058471,1973 Assembly election,19
,,Samuel Smyth,Q6017344,Independent Unionist,,Q7058471,1973 Assembly election,20
Q98273854,,John Coulthard,Q7058511,Northern Ireland Labour Party,,Q7058471,1973 Assembly election,21
,,William Gunning,Q7058511,Northern Ireland Labour Party,,Q7058471,1973 Assembly election,22
,,Sarah Hughes,Q327591,Independent (politician),,Q7058471,1973 Assembly election,23
